REGIAO,REG,TABANCA,TAB,AMOSTRA;;;REGIAO;REG;TABANCA;TAB;AMOSTRA
Gabu,5,19 - Afia,19,14;;;Gabu;5;Afia;19;14
Gabu,5,20 - Camanca,20,14;;;Gabu;5;Camanca;20;14
Gabu,5,21 - Fasse (Bairo Ii),21,15;;;Gabu;5;Fasse (Bairo Ii);21;15
Gabu,5,22 - Mafonco,22,16;;;Gabu;5;Mafonco;22;16
Gabu,5,23 - Samba Canda,23,17;;;Gabu;5;Samba Canda;23;17
Gabu,5,24 - Sintcham Nhapo,24,18;;;Gabu;5;Sintcham Nhapo;24;18
Gabu,5,25 - Tabadjenque,25,19;;;Gabu;5;Tabadjenque;25;19
Gabu,5,26 - Tchetche,26,20;;;Gabu;5;Tchetche;26;20
Cacheu,7,9 - Bula (Pobos De Baixo),9,6;;;Cacheu;7;Bula (Pobos De Baixo);9;6
Cacheu,7,10 - Djolmete,10,7;;;Cacheu;7;Djolmete;10;7
Cacheu,7,11 - Quissas,11,8;;;Cacheu;7;Quissas;11;8
Cacheu,7,12 - Balile,12,9;;;Cacheu;7;Balile;12;9
Cacheu,7,13 - Peledje,13,9;;;Cacheu;7;Peledje;13;9
Cacheu,7,14 - Cabienque,14,10;;;Cacheu;7;Cabienque;14;10
Cacheu,7,15 - Pendai,15,11;;;Cacheu;7;Pendai;15;11
Cacheu,7,16 - Pelundo (Watche),16,12;;;Cacheu;7;Pelundo (Watche);16;12
Cacheu,7,17 - Dapitai,17,13;;;Cacheu;7;Dapitai;17;13
Cacheu,7,22 - Cacanda,22,17;;;Cacheu;7;Cacanda;22;17
Cacheu,7,23 - Djopa,23,18;;;Cacheu;7;Djopa;23;18
Cacheu,7,24 - Cajuguite,24,19;;;Cacheu;7;Cajuguite;24;19
Cacheu,7,27 - Batucar,27,9;;;Cacheu;7;Batucar;27;9
Cacheu,7,28 - Pocumal,28,13;;;Cacheu;7;Pocumal;28;13
Cacheu,7,29 - Ponta Pedra,29,19;;;Cacheu;7;Ponta Pedra;29;19
Cacheu,7,30 - Ponta Campo,30,19;;;Cacheu;7;Ponta Campo;30;19
Cacheu,7,31 - Tubebe,31,20;;;Cacheu;7;Tubebe;31;20
Cacheu,7,44 - Cassenate,44,33;;;Cacheu;7;Cassenate;44;33
Cacheu,7,45 - Dungur,45,34;;;Cacheu;7;Dungur;45;34
Cacheu,7,46 - Sao Vicente,46,35;;;Cacheu;7;Sao Vicente;46;35
Cacheu,7,47 - Bucucur,47,36;;;Cacheu;7;Bucucur;47;36
Cacheu,7,48 - Batau,48,37;;;Cacheu;7;Batau;48;37
Cacheu,7,49 - Barame,49,38;;;Cacheu;7;Barame;49;38
Cacheu,7,50 - Barala,50,39;;;Cacheu;7;Barala;50;39
Cacheu,7,51 - Mato Dinghal,51,40;;;Cacheu;7;Mato Dinghal;51;40
Cacheu,7,54 - Fei,54,33;;;Cacheu;7;Fei;54;33
Cacheu,7,55 - Capo,55,36;;;Cacheu;7;Capo;55;36
Bafata,8,1 - Anambe,1,1;;;Bafata;8;Anambe;1;1
Bafata,8,2 - Ponta Novo,2,2;;;Bafata;8;Ponta Novo;2;2
Bafata,8,3 - Bricama,3,3;;;Bafata;8;Bricama;3;3
Bafata,8,4 - Djada,4,4;;;Bafata;8;Djada;4;4
Bafata,8,5 - Biana,5,4;;;Bafata;8;Biana;5;4
Bafata,8,6 - Nhambanham,6,5;;;Bafata;8;Nhambanham;6;5
Bafata,8,7 - Sintcham Sene,7,5;;;Bafata;8;Sintcham Sene;7;5
Bafata,8,8 - Cumuda,8,6;;;Bafata;8;Cumuda;8;6
Bafata,8,9 - Bambadinca,9,7;;;Bafata;8;Bambadinca;9;7
Bafata,8,10 - Gambiel,10,8;;;Bafata;8;Gambiel;10;8
Bafata,8,11 - Samba Silate,11,9;;;Bafata;8;Samba Silate;11;9
Bafata,8,12 - Onco,12,10;;;Bafata;8;Onco;12;10
Bafata,8,13 - Cumuda,13,11;;;Bafata;8;Cumuda;13;11
Bafata,8,14 - Madina Batanghel,14,12;;;Bafata;8;Madina Batanghel;14;12
Bafata,8,15 - Sauiam,15,12;;;Bafata;8;Sauiam;15;12
Bafata,8,16 - Cancubandje Maunde,16,13;;;Bafata;8;Cancubandje Maunde;16;13
Bafata,8,17 - Tabanani,17,14;;;Bafata;8;Tabanani;17;14
Bafata,8,18 - Galomaro Cosse,18,15;;;Bafata;8;Galomaro Cosse;18;15
Bafata,8,19 - Sintcham Nhobo,19,16;;;Bafata;8;Sintcham Nhobo;19;16
Bafata,8,20 - Missira,20,16;;;Bafata;8;Missira;20;16
Bafata,8,21 - Fode Sana ,21,17;;;Bafata;8;Fode Sana ;21;17
Bafata,8,22 - Pacua,22,17;;;Bafata;8;Pacua;22;17
Bafata,8,23 - Sare Ndjobo,23,18;;;Bafata;8;Sare Ndjobo;23;18
Bafata,8,24 - Cancodia,24,19;;;Bafata;8;Cancodia;24;19
Bafata,8,25 - Sintcham Mole ,25,20;;;Bafata;8;Sintcham Mole ;25;20
Bafata,8,26 - Samaro,26,20;;;Bafata;8;Samaro;26;20
Bafata,8,27 - Sintcham Dado,27,16;;;Bafata;8;Sintcham Dado;27;16
Bafata,8,28 - Sintcham Dembel,28,16;;;Bafata;8;Sintcham Dembel;28;16
Bafata,8,29 - Ga Fati,29,1;;;Bafata;8;Ga Fati;29;1
Quinara,11,1 - Mbunga,1,5;;;Quinara;11;Mbunga;1;5
Quinara,11,2 - Gambil,2,5;;;Quinara;11;Gambil;2;5
Quinara,11,3 - Ntughane,3,5;;;Quinara;11;Ntughane;3;5
Quinara,11,4 - Banta,4,2;;;Quinara;11;Banta;4;2
Quinara,11,5 - Bulensaba,5,3;;;Quinara;11;Bulensaba;5;3
Quinara,11,6 - Dutadjara,6,4;;;Quinara;11;Dutadjara;6;4
Quinara,11,7 - Ponta Nobo,7,4;;;Quinara;11;Ponta Nobo;7;4
Quinara,11,8 - Ncassol,8,4;;;Quinara;11;Ncassol;8;4
Quinara,11,9 - Ndjassan,9,1;;;Quinara;11;Ndjassan;9;1
Quinara,11,10 - Batabali,10,6;;;Quinara;11;Batabali;10;6
Quinara,11,11 - Empada Mandinga,11,7;;;Quinara;11;Empada Mandinga;11;7
Quinara,11,12 - Madina Baixo,12,10;;;Quinara;11;Madina Baixo;12;10
Quinara,11,13 - Darsalam,13,8;;;Quinara;11;Darsalam;13;8
Quinara,11,14 - Ga Tchuma Beafada,14,11;;;Quinara;11;Ga Tchuma Beafada;14;11
Quinara,11,15 - Ga Ntchuma Manjaco,15,11;;;Quinara;11;Ga Ntchuma Manjaco;15;11
Quinara,11,16 - Ga Cumba Balanta,16,9;;;Quinara;11;Ga Cumba Balanta;16;9
Quinara,11,17 - Ga Cumba Beafada,17,9;;;Quinara;11;Ga Cumba Beafada;17;9
Quinara,11,18 - Farancunda,18,12;;;Quinara;11;Farancunda;18;12
Quinara,11,19 - Bissassima,19,18;;;Quinara;11;Bissassima;19;18
Quinara,11,20 - Nan Balanta,20,19;;;Quinara;11;Nan Balanta;20;19
Quinara,11,21 - Djufa,21,20;;;Quinara;11;Djufa;21;20
Quinara,11,22 - Madina,22,17;;;Quinara;11;Madina;22;17
Quinara,11,23 - Boduco Sinho,23,17;;;Quinara;11;Boduco Sinho;23;17
Quinara,11,24 - Fulacunda Baixo,24,13;;;Quinara;11;Fulacunda Baixo;24;13
Quinara,11,25 - Mbassa,25,15;;;Quinara;11;Mbassa;25;15
Quinara,11,26 - Ga Mamudo,26,15;;;Quinara;11;Ga Mamudo;26;15
Quinara,11,27 - Ga Djatra,27,16;;;Quinara;11;Ga Djatra;27;16
Quinara,11,28 - Ga Mole,28,16;;;Quinara;11;Ga Mole;28;16
Quinara,11,29 - Lamane,29,14;;;Quinara;11;Lamane;29;14
Quinara,11,30 - Ga Perto,30,14;;;Quinara;11;Ga Perto;30;14
Tombali,12,1 - Gadamael Porto,1,9;;;Tombali;12;Gadamael Porto;1;9
Tombali,12,2 - Cassaca,2,7;;;Tombali;12;Cassaca;2;7
Tombali,12,3 - Camiconde,3,8;;;Tombali;12;Camiconde;3;8
Tombali,12,4 - Camiconde Almame,4,8;;;Tombali;12;Camiconde Almame;4;8
Tombali,12,5 - Cafal,5,4;;;Tombali;12;Cafal;5;4
Tombali,12,6 - Cadique Mbitna,6,2;;;Tombali;12;Cadique Mbitna;6;2
Tombali,12,7 - Cadique Nalu,7,2;;;Tombali;12;Cadique Nalu;7;2
Tombali,12,8 - Iemberem,8,6;;;Tombali;12;Iemberem;8;6
Tombali,12,9 - Botche Cul,9,1;;;Tombali;12;Botche Cul;9;1
Tombali,12,10 - Flak Ndjam,10,5;;;Tombali;12;Flak Ndjam;10;5
Tombali,12,11 - Bedanda Baixo,11,3;;;Tombali;12;Bedanda Baixo;11;3
Tombali,12,12 - Calima,12,14;;;Tombali;12;Calima;12;14
Tombali,12,13 - Catungo Nalu,13,14;;;Tombali;12;Catungo Nalu;13;14
Tombali,12,14 - Ga Sala ,14,15;;;Tombali;12;Ga Sala ;14;15
Tombali,12,15 - Canjola Porto,15,17;;;Tombali;12;Canjola Porto;15;17
Tombali,12,16 - Tchugue,16,16;;;Tombali;12;Tchugue;16;16
Tombali,12,17 - Cubumba Mato,17,12;;;Tombali;12;Cubumba Mato;17;12
Tombali,12,18 - Cabilol,18,11;;;Tombali;12;Cabilol;18;11
Tombali,12,19 - Cantone,19,13;;;Tombali;12;Cantone;19;13
Tombali,12,20 - Botche Mendi,20,10;;;Tombali;12;Botche Mendi;20;10
Tombali,12,21 - Unal,21,20;;;Tombali;12;Unal;21;20
Tombali,12,22 - Cumbidjam,22,19;;;Tombali;12;Cumbidjam;22;19
Tombali,12,23 - Contabane,23,18;;;Tombali;12;Contabane;23;18
Bolama Bijagos,13,1 - Bruce,1,1;;;Bolama Bijagos;13;Bruce;1;1
Bolama Bijagos,13,2 - Murcunda,2,2;;;Bolama Bijagos;13;Murcunda;2;2
Bolama Bijagos,13,3 - Bejante,3,3;;;Bolama Bijagos;13;Bejante;3;3
Bolama Bijagos,13,4 - Ancadona,4,3;;;Bolama Bijagos;13;Ancadona;4;3
Bolama Bijagos,13,5 - Timbato,5,4;;;Bolama Bijagos;13;Timbato;5;4
Bolama Bijagos,13,6 - Ambanha,6,4;;;Bolama Bijagos;13;Ambanha;6;4
Bolama Bijagos,13,7 - Bidjena,7,4;;;Bolama Bijagos;13;Bidjena;7;4
Bolama Bijagos,13,8 - Baixada,8,5;;;Bolama Bijagos;13;Baixada;8;5
Bolama Bijagos,13,9 - Buba Luanda,9,6;;;Bolama Bijagos;13;Buba Luanda;9;6
Bolama Bijagos,13,10 - Bairo Comercial,10,7;;;Bolama Bijagos;13;Bairo Comercial;10;7
Bolama Bijagos,13,11 - Estancia,11,8;;;Bolama Bijagos;13;Estancia;11;8
Bolama Bijagos,13,12 - An Onho (Uno),12,9;;;Bolama Bijagos;13;An Onho (Uno);12;9
Bolama Bijagos,13,13 - Ancamona,13,10;;;Bolama Bijagos;13;Ancamona;13;10
Bolama Bijagos,13,14 - Anhimago,14,10;;;Bolama Bijagos;13;Anhimago;14;10
Bolama Bijagos,13,15 - Ancope,15,10;;;Bolama Bijagos;13;Ancope;15;10
Bolama,14,1 - Praca,1,1;;;Bolama;14;Praca;1;1
Bolama,14,2 - Sanssala,2,2;;;Bolama;14;Sanssala;2;2
Bolama,14,3 - Telegra,3,3;;;Bolama;14;Telegra;3;3
Bolama,14,4 - Bairo 14,4,4;;;Bolama;14;Bairo 14;4;4
Bolama,14,5 - Ntatcha,5,5;;;Bolama;14;Ntatcha;5;5
Bolama,14,6 - Sintcham,6,5;;;Bolama;14;Sintcham;6;5
Bolama,14,7 - Ga Beafada,7,6;;;Bolama;14;Ga Beafada;7;6
Bolama,14,8 - Cassucai,8,6;;;Bolama;14;Cassucai;8;6
Bolama,14,9 - Assumada,9,7;;;Bolama;14;Assumada;9;7
Bolama,14,10 - Castelo,10,8;;;Bolama;14;Castelo;10;8
Bolama,14,11 - Luanda,11,9;;;Bolama;14;Luanda;11;9
Bolama,14,12 - Portugal,12,9;;;Bolama;14;Portugal;12;9
Bolama,14,13 - Wato,13,10;;;Bolama;14;Wato;13;10
Bolama,14,14 - Bolama Baixo,14,10;;;Bolama;14;Bolama Baixo;14;10
Bolama,14,15 - Calege,15,11;;;Bolama;14;Calege;15;11
Bolama,14,16 - Pontia,16,11;;;Bolama;14;Pontia;16;11
Bolama,14,17 - Lala,17,12;;;Bolama;14;Lala;17;12
Bolama,14,18 - Ga Balanta,18,11;;;Bolama;14;Ga Balanta;18;11
Bolama,14,19 - Marssas,19,11;;;Bolama;14;Marssas;19;11
Bolama,14,20 - Madina,20,11;;;Bolama;14;Madina;20;11
Bolama,14,21 - Canema,21,12;;;Bolama;14;Canema;21;12
Bolama,14,22 - Alto Cabral,22,12;;;Bolama;14;Alto Cabral;22;12
Bolama,14,23 - Ponta Apili,23,12;;;Bolama;14;Ponta Apili;23;12
Sao Domigos,15,1 - Amone,1,1;;;Sao Domigos;15;Amone;1;1
Sao Domigos,15,2 - Apilho,2,1;;;Sao Domigos;15;Apilho;2;1
Sao Domigos,15,3 - Blansan,3,2;;;Sao Domigos;15;Blansan;3;2
Sao Domigos,15,4 - N`Daia,4,3;;;Sao Domigos;15;N`Daia;4;3
Sao Domigos,15,5 - Capal,5,5;;;Sao Domigos;15;Capal;5;5
Sao Domigos,15,6 - Mansacunda,6,4;;;Sao Domigos;15;Mansacunda;6;4
Sao Domigos,15,7 - Djebacunda,7,4;;;Sao Domigos;15;Djebacunda;7;4
Sao Domigos,15,8 - Faredjanto,8,5;;;Sao Domigos;15;Faredjanto;8;5
Sao Domigos,15,18 - Arame,18,14;;;Sao Domigos;15;Arame;18;14
Sao Domigos,15,19 - Djamosso,19,15;;;Sao Domigos;15;Djamosso;19;15
Sao Domigos,15,20 - Ngud Grande,20,15;;;Sao Domigos;15;Ngud Grande;20;15
Sao Domigos,15,21 - Ossor,21,16;;;Sao Domigos;15;Ossor;21;16
Sao Domigos,15,25 - Lokpas,25,1;;;Sao Domigos;15;Lokpas;25;1
Sao Domigos,15,26 - Carabane Cherife,26,2;;;Sao Domigos;15;Carabane Cherife;26;2
Sao Domigos,15,32 - Antotinha Zinho,32,21;;;Sao Domigos;15;Antotinha Zinho;32;21
Sao Domigos,15,33 - Aquintcha,33,22;;;Sao Domigos;15;Aquintcha;33;22
Sao Domigos,15,34 - Binta Balanta,34,23;;;Sao Domigos;15;Binta Balanta;34;23
Sao Domigos,15,35 - Bucucur,35,24;;;Sao Domigos;15;Bucucur;35;24
Sao Domigos,15,36 - Canjande,36,25;;;Sao Domigos;15;Canjande;36;25
Sao Domigos,15,37 - Gendem,37,26;;;Sao Domigos;15;Gendem;37;26
Sao Domigos,15,38 - Atanque,38,27;;;Sao Domigos;15;Atanque;38;27
Sao Domigos,15,39 - Bulol,39,28;;;Sao Domigos;15;Bulol;39;28
Sao Domigos,15,40 - Budjim,40,29;;;Sao Domigos;15;Budjim;40;29
Sao Domigos,15,41 - Catom,41,30;;;Sao Domigos;15;Catom;41;30
Sao Domigos,15,42 - Campada Namoante,42,31;;;Sao Domigos;15;Campada Namoante;42;31
Sao Domigos,15,43 - Djegue Ii,43,32;;;Sao Domigos;15;Djegue Ii;43;32
Sao Domigos,15,52 - Quissir,52,23;;;Sao Domigos;15;Quissir;52;23
Sao Domigos,15,53 - Djifungo,53,28;;;Sao Domigos;15;Djifungo;53;28
MSF Bafata,16,21 - Binate M'bana,21,21;;;MSF Bafata;16;Binate M'bana;21;21
MSF Bafata,16,22 - Curura,22,22;;;MSF Bafata;16;Curura;22;22
MSF Bafata,16,23 - Sare Iero Ba,23,23;;;MSF Bafata;16;Sare Iero Ba;23;23
MSF Bafata,16,24 - Sintchan N'ghalem,24,24;;;MSF Bafata;16;Sintchan N'ghalem;24;24
MSF Bafata,16,25 - Sintchan Sori,25,25;;;MSF Bafata;16;Sintchan Sori;25;25
MSF Bafata,16,26 - Embalocunda,26,26;;;MSF Bafata;16;Embalocunda;26;26
MSF Bafata,16,27 - Djada,27,27;;;MSF Bafata;16;Djada;27;27
MSF Bafata,16,28 - Bairro welingara,28,28;;;MSF Bafata;16;Bairro welingara;28;28
MSF Bafata,16,29 - Colinto,29,29;;;MSF Bafata;16;Colinto;29;29
MSF Bafata,16,30 - Sta Mamado Bobo,30,30;;;MSF Bafata;16;Sta Mamado Bobo;30;30
MSF Bafata,16,31 - Sta Naunde Nhada,31,31;;;MSF Bafata;16;Sta Naunde Nhada;31;31
MSF Bafata,16,32 - Bantamdjam,32,32;;;MSF Bafata;16;Bantamdjam;32;32
MSF Bafata,16,33 - Sta-Sarfo,33,33;;;MSF Bafata;16;Sta-Sarfo;33;33
MSF Bafata,16,34 - Ga-Djai-1,34,34;;;MSF Bafata;16;Ga-Djai-1;34;34
MSF Bafata,16,35 - Candombe Mane,35,35;;;MSF Bafata;16;Candombe Mane;35;35
MSF Bafata,16,36 - Sare Besse,36,36;;;MSF Bafata;16;Sare Besse;36;36
MSF Bafata,16,37 - Sare-Nhanhala,37,37;;;MSF Bafata;16;Sare-Nhanhala;37;37
MSF Bafata,16,38 - Embalocunda,38,38;;;MSF Bafata;16;Embalocunda;38;38
MSF Bafata,16,39 - Sare-Tchumo,39,39;;;MSF Bafata;16;Sare-Tchumo;39;39
MSF Bafata,16,40 - Sintcham Dico,40,40;;;MSF Bafata;16;Sintcham Dico;40;40
MSF Bafata,16,41 - Sintcham Samuna,41,41;;;MSF Bafata;16;Sintcham Samuna;41;41
MSF Bafata,16,42 - Sintcham Dulo I,42,42;;;MSF Bafata;16;Sintcham Dulo I;42;42
MSF Bafata,16,43 - Sintcham Cantaba,43,43;;;MSF Bafata;16;Sintcham Cantaba;43;43
MSF Bafata,16,44 - Madina Mansona,44,44;;;MSF Bafata;16;Madina Mansona;44;44
MSF Bafata,16,45 - Canhamina,45,45;;;MSF Bafata;16;Canhamina;45;45
MSF Bafata,16,46 - Dar Salam,46,46;;;MSF Bafata;16;Dar Salam;46;46
MSF Bafata,16,47 - Fafabe,47,47;;;MSF Bafata;16;Fafabe;47;47
MSF Bafata,16,48 - Sintcha Ganha,48,48;;;MSF Bafata;16;Sintcha Ganha;48;48
MSF Bafata,16,49 - Sibidjan Mandinga,49,49;;;MSF Bafata;16;Sibidjan Mandinga;49;49
MSF Bafata,16,50 - Madina Sael,50,50;;;MSF Bafata;16;Madina Sael;50;50
MSF Bafata,16,51 - Canquinto,51,51;;;MSF Bafata;16;Canquinto;51;51
MSF Bafata,16,52 - Ioroindi 1,52,52;;;MSF Bafata;16;Ioroindi 1;52;52
MSF Bafata,16,53 - Sare Saba,53,53;;;MSF Bafata;16;Sare Saba;53;53
MSF Bafata,16,54 - Cambedare,54,54;;;MSF Bafata;16;Cambedare;54;54
MSF Bafata,16,55 - Tabato,55,55;;;MSF Bafata;16;Tabato;55;55
MSF Bafata,16,56 - Brincassa,56,56;;;MSF Bafata;16;Brincassa;56;56
MSF Bafata,16,57 - Sare-Bailo,57,57;;;MSF Bafata;16;Sare-Bailo;57;57
MSF Bafata,16,58 - Manta Seidi,58,58;;;MSF Bafata;16;Manta Seidi;58;58
MSF Bafata,16,59 - Walicunda,59,59;;;MSF Bafata;16;Walicunda;59;59
MSF Bafata,16,60 - Coboto,60,60;;;MSF Bafata;16;Coboto;60;60
MSF Bafata,16,61 - Ga-Mamudo,61,54;;;MSF Bafata;16;Ga-Mamudo;61;54
MSF Bafata,16,62 - Bambadinca Cossara,62,54;;;MSF Bafata;16;Bambadinca Cossara;62;54
MSF Bafata,16,63 - Baria,63,51;;;MSF Bafata;16;Baria;63;51
MSF Bafata,16,64 - Quere-wane,64,51;;;MSF Bafata;16;Quere-wane;64;51
MSF Bafata,16,65 - Sint Sori,65,50;;;MSF Bafata;16;Sint Sori;65;50
MSF Bafata,16,66 - Missira Cuta,66,50;;;MSF Bafata;16;Missira Cuta;66;50
MSF Bafata,16,67 - Sint Aliu,67,52;;;MSF Bafata;16;Sint Aliu;67;52
MSF Bafata,16,68 - Tininto,68,53;;;MSF Bafata;16;Tininto;68;53
MSF Bafata,16,69 - Tininto Mandjaco,69,53;;;MSF Bafata;16;Tininto Mandjaco;69;53
MSF Bafata,16,70 - Sint Samadeia,70,23;;;MSF Bafata;16;Sint Samadeia;70;23
MSF Bafata,16,71 - Sint Mussa,71,23;;;MSF Bafata;16;Sint Mussa;71;23
MSF Bafata,16,72 - Sint  Ansumane,72,21;;;MSF Bafata;16;Sint  Ansumane;72;21
MSF Bafata,16,73 - Campampe,73,21;;;MSF Bafata;16;Campampe;73;21
MSF Bafata,16,74 - Sare Midjaca,74,33;;;MSF Bafata;16;Sare Midjaca;74;33
MSF Bafata,16,75 - Sare Demanda,75,33;;;MSF Bafata;16;Sare Demanda;75;33
MSF Bafata,16,76 - Madina Ioba,76,34;;;MSF Bafata;16;Madina Ioba;76;34
MSF Bafata,16,77 - Sare Djata,77,35;;;MSF Bafata;16;Sare Djata;77;35
MSF Bafata,16,78 - Sint Biron,78,35;;;MSF Bafata;16;Sint Biron;78;35
MSF Bafata,16,79 - Sint Dembadjau,79,36;;;MSF Bafata;16;Sint Dembadjau;79;36
MSF Bafata,16,80 - Sint Umaro,80,36;;;MSF Bafata;16;Sint Umaro;80;36
MSF Bafata,16,81 - Djinane,81,37;;;MSF Bafata;16;Djinane;81;37
MSF Bafata,16,82 - Sare Tchican,82,38;;;MSF Bafata;16;Sare Tchican;82;38
MSF Bafata,16,83 - Cansamina,83,39;;;MSF Bafata;16;Cansamina;83;39
MSF Bafata,16,84 - Sint Fina,84,56;;;MSF Bafata;16;Sint Fina;84;56
